subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
computernetworks,understand,15,107,1.0,4,5.25,1.09,41.25,1,0.0,0.0,0.0,0.0,19,0.172,0.238,0.0,0.579,False,0,42.55,11.3,13.02,15.34,0.5356,0.7082
computernetworks,understand,16,109,1.0,4,11.75,1.09,82.5,1,0.248,0.245,0.222,0.263,21,0.276,0.32,0.18,0.429,False,0,53.97,10.45,11.21,10.12,0.6959,0.7563
computernetworks,understand,16,124,1.0,4,8.0,2.35,62.0,1,0.069,0.057,0.056,0.059,25,0.171,0.37,0.033,0.48,False,0,42.72,12.27,13.02,12.3,0.8247,0.7624
computernetworks,understand,17,120,1.0,4,7.5,2.18,56.75,1,0.032,0.039,0.0,0.059,18,0.167,0.16,0.043,0.556,False,0,19.37,15.03,17.12,14.78,0.8684,0.5821
computernetworks,understand,14,130,1.0,4,12.75,2.68,98.5,0,0.12,0.104,0.08,0.12,24,0.086,0.171,0.143,0.667,False,0,24.38,15.08,14.55,12.9,0.7994,0.8585
computernetworks,understand,12,100,1.0,4,7.5,1.12,53.0,0,0.072,0.07,0.062,0.077,19,0.069,0.227,0.026,0.632,False,0,11.42,14.9,14.55,20.74,0.6293,0.6151
computernetworks,understand,21,116,1.0,4,2.0,0.0,14.0,2,0.333,0.333,0.333,0.333,18,0.3,0.111,0.053,0.444,True,0,69.14,9.08,3.13,7.11,0.7792,0.4881
computernetworks,understand,16,106,1.0,4,11.0,1.41,82.25,1,0.322,0.323,0.263,0.412,27,0.229,0.176,0.121,0.556,False,0,66.37,8.47,8.84,9.94,0.8368,0.7618
computernetworks,understand,11,92,1.0,4,7.75,1.48,64.75,1,0.414,0.38,0.308,0.5,18,0.208,0.333,0.229,0.611,False,0,-4.29,16.59,13.02,23.16,0.8174,0.8734
computernetworks,understand,15,113,1.0,4,6.25,1.79,41.25,1,0.09,0.075,0.071,0.083,23,0.267,0.28,0.037,0.435,False,0,45.26,11.17,11.21,14.53,0.686,0.6688
computernetworks,understand,19,114,1.0,4,11.5,1.8,87.5,1,0.086,0.094,0.045,0.13,21,0.111,0.375,0.09,0.381,False,0,59.64,9.91,14.55,9.69,0.6197,0.7469
computernetworks,understand,15,96,1.0,4,11.0,1.87,72.25,0,0.112,0.091,0.087,0.095,23,0.152,0.48,0.088,0.348,False,0,65.17,8.39,8.84,9.07,0.617,0.9023
computernetworks,understand,16,118,1.0,4,11.75,1.09,87.25,0,0.12,0.142,0.087,0.19,20,0.059,0.1,0.121,0.85,False,0,25.36,13.95,15.9,16.58,0.609,0.7894
computernetworks,analyze,17,113,1.0,4,11.25,1.64,78.25,1,0.109,0.09,0.087,0.091,22,0.026,0.091,0.054,0.818,False,0,30.33,13.25,14.55,14.87,0.6916,0.7446
computernetworks,understand,16,98,1.0,4,12.0,2.74,78.25,1,0.118,0.13,0.083,0.19,18,0.214,0.172,0.151,0.611,False,0,80.69,6.73,8.84,6.15,0.8202,0.8438
computernetworks,understand,17,124,1.0,4,10.0,2.55,66.25,0,0.156,0.154,0.095,0.2,20,0.194,0.214,0.133,0.6,False,0,31.71,13.56,15.9,13.78,0.7614,0.8474
computernetworks,analyze,23,159,1.0,4,11.75,3.56,73.75,1,0.098,0.065,0.037,0.115,21,0.1,0.152,0.068,0.619,False,0,43.08,10.23,13.02,13.63,0.6439,0.8047
computernetworks,understand,17,121,1.0,4,12.75,3.56,78.75,1,0.133,0.144,0.13,0.154,18,0.094,0.385,0.115,0.389,False,0,64.66,9.46,11.21,9.58,0.561,0.8165
computernetworks,understand,19,104,1.0,4,14.0,3.08,90.75,1,0.228,0.221,0.192,0.269,22,0.171,0.414,0.132,0.364,False,0,72.33,8.14,11.21,7.08,0.721,0.7421
computernetworks,analyze,25,162,1.0,4,11.5,3.91,86.25,1,0.102,0.108,0.08,0.16,24,0.114,0.135,0.064,0.667,False,0,22.41,16.34,15.9,14.57,0.5892,0.758
computernetworks,analyze,36,258,1.0,4,20.25,4.82,123.0,1,0.136,0.117,0.105,0.136,28,0.164,0.256,0.139,0.5,False,0,19.74,20.19,15.9,15.42,0.7646,0.8548
computernetworks,analyze,18,162,1.0,4,15.75,3.49,127.25,1,0.185,0.171,0.148,0.214,19,0.088,0.258,0.162,0.579,False,0,23.0,15.52,14.55,19.76,0.6106,0.8596
computernetworks,analyze,23,164,1.0,4,15.0,1.22,82.5,1,0.207,0.254,0.074,0.409,26,0.14,0.2,0.081,0.577,False,0,37.28,14.52,14.55,13.62,0.6203,0.5798
computernetworks,analyze,14,110,1.0,4,11.5,0.87,80.75,3,0.083,0.135,0.0,0.263,15,0.16,0.286,0.089,0.467,False,0,37.26,12.04,14.55,16.43,0.3781,0.7741
computernetworks,analyze,26,163,1.0,4,11.25,1.09,86.5,1,0.196,0.196,0.158,0.263,16,0.077,0.286,0.065,0.562,False,0,47.83,13.3,14.55,11.89,0.3583,0.7064
computernetworks,analyze,23,159,1.0,4,12.5,1.5,77.25,1,0.137,0.117,0.045,0.174,16,0.182,0.208,0.037,0.438,False,0,41.87,10.53,12.16,11.76,0.5372,0.6591
computernetworks,analyze,24,201,1.0,4,17.75,4.92,135.75,1,0.144,0.163,0.081,0.212,16,0.176,0.135,0.069,0.5,False,0,24.32,16.82,14.55,18.15,0.4983,0.4176
computernetworks,analyze,29,219,1.0,4,13.75,2.17,96.5,1,0.139,0.16,0.077,0.292,18,0.119,0.207,0.109,0.611,False,0,38.83,11.94,13.82,14.39,0.6175,0.6178
computernetworks,analyze,25,165,1.0,4,14.25,4.71,107.0,2,0.143,0.123,0.1,0.143,20,0.125,0.235,0.094,0.5,False,0,39.43,14.72,14.55,11.52,0.5741,0.7686
computernetworks,analyze,26,190,1.0,4,14.25,4.09,120.0,2,0.081,0.135,0.033,0.308,15,0.051,0.091,0.065,0.8,False,0,38.92,15.53,17.12,12.62,0.4673,0.6992
computernetworks,understand,19,130,1.0,4,11.75,3.27,87.25,2,0.163,0.174,0.13,0.208,25,0.1,0.235,0.06,0.6,False,0,36.16,12.94,13.02,16.22,0.7203,0.7624
computernetworks,understand,20,128,1.0,4,6.0,1.58,45.75,1,0.027,0.024,0.0,0.071,23,0.162,0.107,0.024,0.609,False,0,48.55,11.7,13.02,11.79,0.598,0.4002
computernetworks,understand,21,131,1.0,4,7.25,0.43,74.75,1,0.755,0.81,0.556,1.0,19,0.111,0.3,0.256,0.526,False,0,66.4,10.21,11.21,7.38,0.5699,0.7037
computernetworks,understand,17,131,1.0,4,12.0,1.0,79.5,2,0.212,0.257,0.2,0.333,14,0.192,0.35,0.167,0.5,False,0,38.49,12.86,14.55,14.91,0.6217,0.8393
computernetworks,analyze,20,151,1.0,4,9.75,1.79,71.75,2,0.026,0.033,0.0,0.053,22,0.312,0.03,0.082,0.545,False,0,27.38,15.4,14.55,13.17,0.6937,0.5011
computernetworks,understand,25,218,1.0,4,3.75,0.83,33.75,1,0.0,0.0,0.0,0.0,16,0.206,0.167,0.0,0.438,False,0,8.9,19.72,20.27,16.92,0.7037,0.5499
computernetworks,analyze,21,145,1.0,4,8.75,2.38,65.75,0,0.128,0.135,0.059,0.188,20,0.206,0.103,0.065,0.65,False,0,60.36,11.55,8.84,8.24,0.5561,0.5558
computernetworks,understand,19,144,1.0,4,11.0,1.87,88.5,2,0.354,0.445,0.316,0.667,18,0.156,0.5,0.272,0.389,False,0,17.34,15.81,19.29,18.39,0.7654,0.8758
computernetworks,understand,16,124,1.0,4,2.0,0.0,20.75,3,0.333,0.333,0.333,0.333,17,0.1,0.056,0.056,0.824,False,0,31.71,13.56,14.55,14.39,0.5838,0.6787
computernetworks,analyze,16,126,1.0,4,8.25,3.49,56.75,2,0.084,0.052,0.048,0.056,18,0.097,0.103,0.014,0.722,False,0,48.55,11.7,13.02,11.51,0.7443,0.5711
