subject,bloom_taxonomy_level,stem_word_count,stem_char_count,stem_unique_ratio,num_options,avg_option_word_count,std_option_word_count,avg_option_char_count,correct_answer_index,pairwise_avg_jaccard,avg_distractor_jaccard_to_correct,min_distractor_jaccard_to_correct,max_distractor_jaccard_to_correct,explanation_word_count,expl_to_question_jaccard,expl_to_correct_jaccard,expl_to_distractor_avg_jaccard,expl_new_info_ratio,expl_contains_correct_verbatim,citation_length,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,expl_semantic_to_question_cos,expl_semantic_to_correct_cos
datamining,understand,19,126,1.0,4,13.5,3.35,99.0,2,0.121,0.125,0.067,0.16,22,0.171,0.206,0.1,0.545,False,0,31.71,13.56,17.12,14.08,0.6829,0.6097
datamining,understand,8,75,1.0,4,12.5,2.06,81.75,1,0.123,0.11,0.077,0.174,16,0.0,0.067,0.038,0.875,False,0,-33.93,19.98,15.9,25.45,0.6015,0.3938
datamining,understand,22,150,1.0,4,5.25,2.17,40.0,0,0.014,0.0,0.0,0.0,19,0.108,0.15,0.057,0.684,False,0,38.38,13.37,14.55,16.34,0.614,0.7633
datamining,understand,23,167,1.0,4,2.25,0.43,17.5,1,0.042,0.083,0.0,0.25,12,0.061,0.071,0.0,0.75,True,0,39.56,10.72,12.16,15.57,0.3912,0.6519
datamining,understand,24,157,1.0,4,6.75,1.79,46.75,1,0.051,0.053,0.0,0.083,21,0.098,0.13,0.063,0.714,False,0,27.51,15.88,18.24,12.06,0.5508,0.6861
datamining,understand,16,112,1.0,4,8.25,1.09,57.0,1,0.186,0.128,0.125,0.133,20,0.125,0.034,0.051,0.8,False,0,58.42,9.83,3.13,11.03,0.6617,0.6372
datamining,understand,26,174,1.0,4,8.25,2.49,56.25,0,0.116,0.133,0.059,0.25,21,0.175,0.174,0.127,0.524,False,0,38.43,14.61,14.55,14.47,0.6462,0.7683
datamining,understand,15,111,1.0,4,9.75,4.21,69.75,1,0.104,0.107,0.087,0.143,26,0.171,0.162,0.031,0.538,False,0,16.77,14.65,14.55,18.96,0.6864,0.5477
datamining,understand,18,136,1.0,4,13.25,2.17,103.25,1,0.22,0.255,0.16,0.304,22,0.212,0.267,0.189,0.5,False,0,32.43,13.95,13.02,14.55,0.7746,0.8448
datamining,understand,9,87,1.0,4,8.0,0.71,62.75,1,0.14,0.188,0.067,0.364,16,0.136,0.333,0.06,0.5,False,0,-6.35,16.63,13.02,25.32,0.678,0.901
datamining,analyze,12,84,1.0,4,9.5,2.5,66.75,1,0.101,0.066,0.048,0.095,21,0.179,0.214,0.086,0.571,False,0,18.41,13.67,13.02,16.05,0.745,0.7316
datamining,understand,19,149,1.0,4,4.5,0.87,35.0,1,0.024,0.0,0.0,0.0,21,0.053,0.13,0.0,0.762,False,0,43.78,13.61,13.02,10.5,0.6647,0.4304
datamining,analyze,18,130,1.0,4,9.5,2.06,72.0,1,0.047,0.05,0.0,0.1,19,0.156,0.143,0.053,0.684,False,0,34.26,13.45,15.9,13.46,0.6977,0.5906
datamining,understand,16,100,1.0,4,8.25,3.34,73.0,1,0.092,0.156,0.053,0.25,19,0.167,0.222,0.107,0.526,False,0,37.26,12.04,11.21,12.8,0.7303,0.9364
datamining,analyze,14,98,1.0,4,9.25,2.17,70.75,1,0.129,0.167,0.167,0.167,24,0.056,0.156,0.091,0.75,False,0,47.6,10.1,13.02,16.47,0.6911,0.8021
datamining,understand,18,148,1.0,4,11.25,1.64,77.25,1,0.127,0.124,0.091,0.19,16,0.172,0.364,0.114,0.5,False,0,23.0,15.52,14.55,16.07,0.7905,0.949
datamining,analyze,16,124,1.0,4,8.5,2.87,56.5,1,0.096,0.09,0.059,0.105,18,0.062,0.192,0.013,0.667,False,0,25.36,13.95,15.9,18.62,0.6022,0.8042
datamining,understand,16,124,1.0,4,9.75,1.79,61.5,1,0.106,0.088,0.048,0.118,18,0.172,0.154,0.141,0.556,False,0,19.37,15.03,18.24,16.71,0.6222,0.7208
datamining,remember,14,94,1.0,4,5.0,0.0,64.75,1,0.134,0.157,0.111,0.25,14,0.167,0.357,0.076,0.429,False,0,44.97,10.71,13.02,12.39,0.6431,0.7618
datamining,remember,13,86,1.0,4,1.75,0.43,14.25,1,0.167,0.0,0.0,0.0,15,0.217,0.067,0.062,0.6,True,0,47.6,10.1,13.02,11.91,0.571,0.5676
datamining,understand,18,126,1.0,4,10.0,2.55,70.25,0,0.114,0.097,0.091,0.105,17,0.167,0.148,0.054,0.529,False,0,4.13,14.8,13.02,15.86,0.6466,0.4487
datamining,understand,14,120,1.0,4,11.25,0.43,86.0,1,0.212,0.15,0.15,0.15,14,0.077,0.3,0.087,0.571,False,0,5.49,16.22,14.55,22.83,0.6744,0.8251
datamining,understand,14,100,1.0,4,11.25,2.17,76.75,1,0.055,0.043,0.04,0.048,34,0.171,0.067,0.048,0.735,False,0,41.55,10.94,11.21,17.71,0.856,0.5212
datamining,understand,20,146,1.0,4,4.75,0.43,32.25,1,0.268,0.262,0.25,0.286,15,0.207,0.333,0.113,0.467,False,0,13.11,16.4,18.24,18.1,0.7307,0.8044
datamining,apply,24,161,1.0,4,9.75,2.28,68.5,2,0.033,0.03,0.0,0.091,29,0.152,0.108,0.036,0.655,False,0,46.1,13.04,14.55,14.34,0.5626,0.5276
